--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,
255,1971,NFL,5,125,DET,Pete Newell,G,
256,1971,NFL,5,127,SFO,Marty Huff\HuffMa20,LB,
257,1971,NFL,6,132,NOR,Don Moorhead,RB,
258,1971,NFL,10,240,NYJ,Jim Betts,DB,
259,1971,NFL,14,344,NYJ,John Harpring,G,
260,1970,NFL,2,29,MIA,Jim Mandich\MandJi00,TE,College Stats
261,1970,NFL,5,120,GNB,Cecil Pryor,DE,
262,1970,NFL,5,127,STL,Barry Pierson,DB,
263,1970,NFL,14,343,BOS,Garvie Craw,RB,
264,1970,NFL,14,356,BAL,Tom Curtis\CurtTo20,DB,College Stats
265,1970,NFL,17,441,MIN,Brian Healy,DB,
266,1969,NFL,1,20,CLE,Ron Johnson\JohnRo02,RB,College Stats
267,1969,NFL,3,68,DAL,Thomas Stincic\StinTh20,LB,
268,1969,NFL,14,346,DET,George Hoey\HoeyGe20,DB,
269,1968,NFL,5,123,STL,Rocky Rosema\RoseRo20,LB,College Stats
270,1968,NFL,7,169,NOR,Ray Phillips,G,
271,1968,NFL,9,238,CLE,David Porter,DT,
272,1967,NFL,1,20,BAL,Jim Detwiler,HB,
273,1967,NFL,2,45,BAL,Rick Volk\VolkRi00,DB,College Stats
274,1967,NFL,3,62,SFO,Frank Nunley\NunlFr20,LB,
275,1967,NFL,3,78,GNB,John Rowser\RowsJo20,DB,College Stats
276,1967,NFL,4,83,CLE,Carl Ward\WardCa20,DB,College Stats
277,1967,NFL,12,314,GNB,Mike Bass\BassMi20,DB,College Stats
278,1966,NFL,1,2,RAM,Tom Mack\MackTo00,G,
279,1966,AFL,1,13,NYJ,William Yearby\YearWi20,DE,
280,1966,NFL,5,71,SFO,Steve Smith\SmitSt20,T,College Stats
281,1966,NFL,5,73,STL,Jack Clancy\ClanJa00,SE,College Stats
282,1966,AFL,16,140,HOU,Steve Smith\SmitSt20,T,College Stats
283,1966,NFL,18,272,CHI,Charley Kines,T,
284,1965,NFL,3,33,NYG,Bob Timberlake\TimbBo20,K,College Stats
285,1965,NFL,5,63,PHI,John Henderson\HendJo00,WR,College Stats
286,1965,NFL,6,72,CLE,Arnie Simkus\SimkAr20,DE,
287,1965,AFL,13,104,BUF,Bob Timberlake\TimbBo20,K,College Stats
288,1965,AFL,17,136,BUF,John Henderson\HendJo00,WR,College Stats
289,1965,NFL,16,223,CLE,Mel Anthony,FB,
290,1964,AFL,5,34,KAN,Tom Keating\KeatTo00,DT,
291,1964,NFL,3,40,GNB,Joe O'Donnell\ODonJo00,G,College Stats
292,1964,NFL,4,53,MIN,Tom Keating\KeatTo00,DT,
293,1964,AFL,13,101,BUF,Joe O'Donnell\ODonJo00,G,College Stats
294,1964,NFL,15,207,CLE,John Houtman,T,
295,1963,NFL,9,121,CLE,Dave Raimey\RaimDa20,DB,College Stats
296,1962,NFL,2,21,CHI,Bennie McRae\McRaBe20,DB,College Stats
297,1962,AFL,7,53,NYT,George Mans,E,
298,1962,AFL,7,54,BOS,John Schopf,T,
299,1962,AFL,8,62,BOS,Bennie McRae\McRaBe20,DB,College Stats
300,1962,NFL,5,63,CHI,Bill Tunnicliff,FB,
301,1962,NFL,5,70,GNB,Jon Schopf,G,
302,1962,NFL,8,102,DAL,Ken Tureaud,B,
303,1962,NFL,9,122,DET,Todd Grant,C,
304,1962,AFL,17,134,BOS,Scott Maentz,E,
305,1962,AFL,21,161,OAK,Bill Tunnicliff,FB,
306,1962,AFL,23,178,DEN,Ken Tureaud,HB,
307,1962,NFL,14,187,STL,George Mans,E,
308,1962,NFL,20,276,DET,Bob Brown,E,
309,1961,AFL,22,171,BOS,Bob Johnson,E,
310,1961,NFL,15,199,WAS,Bob Johnson,E,
311,1961,AFL,28,222,DTX,Bill Stine,G,
312,1960,NFL,15,171,DET,Darrell Harper\HarpDa00,HB,College Stats
313,1959,NFL,4,37,CLE,Gary Prahst,E,
314,1959,NFL,8,87,CLE,Bob Ptacek\PtacBo20,QB,College Stats
315,1959,NFL,8,94,CHI,Willie Smith\SmitWi21,G,
316,1959,NFL,11,124,WAS,Gerry Marciniak,G,
317,1959,NFL,21,252,BAL,John Hernstein,B,
318,1958,NFL,1,8,SFO,James Pace\PaceJa20,HB,College Stats
319,1958,NFL,5,54,WAS,Jim Van Pelt,QB,
320,1958,NFL,28,331,RAM,Gordy Morrow,E,
321,1957,NFL,1,4,GNB,Ron Kramer\KramRo00,E,College Stats
322,1957,NFL,2,22,CRD,Tom Maentz,E,
323,1957,NFL,3,36,DET,Terry Barr\BarrTe00,HB,College Stats
324,1957,NFL,7,82,CLE,Mike Rotunno,C,
325,1957,NFL,21,242,PHI,Charley Brooks,E,
326,1957,NFL,25,301,NYG,Jerry Goebel,C,
327,1957,NFL,28,326,PHI,Clem Corona,G,
328,1956,NFL,10,111,PIT,Lou Baldacci\BaldLo00,HB,College Stats
329,1956,NFL,23,269,CRD,Tony Branoff,B,
330,1956,NFL,28,336,RAM,John Morrow\MorrJo04,C,
331,1955,NFL,12,137,GNB,Art Walker,T,
332,1955,NFL,14,161,GNB,Fred Baer,B,
333,1955,NFL,20,231,WAS,Ron Geyer,T,
334,1955,NFL,26,312,DET,Duncan McDonald,B,
335,1954,NFL,10,111,GNB,Gene Knutson\KnutGe20,DE,College Stats
336,1954,NFL,13,148,NYG,Bob Topp\ToppBo20,E,College Stats
337,1954,NFL,29,344,WAS,Ted Kress,B,
338,1953,NFL,5,56,GNB,Roger Zatkoff\ZatkRo00,LB,College Stats
339,1953,NFL,8,91,PIT,Lowell Perry\PerrLo20,E,College Stats
340,1953,NFL,15,182,DET,Ted Topor\TopoTe20,LB,College Stats
341,1953,NFL,22,262,PHI,Laurie LeClaire,B,
342,1952,NFL,6,63,GNB,Tom Johnson\JohnTo21,DT,
343,1952,NFL,17,196,GNB,Don Peterson,B,
344,1951,NFL,2,20,PIT,Chuck Ortmann\OrtmCh20,B,College Stats
345,1951,NFL,5,59,RAM,Tony Momsen\MomsTo20,C,
346,1951,NFL,9,99,GNB,Dick McWilliams,T,
347,1951,NFL,12,136,GNB,Carl Kreager,C,
348,1951,NFL,17,205,CHI,Don Dufek,B,
349,1951,NFL,27,322,DET,Harry Allis,E,
350,1950,NFL,10,128,CHI,Al Wahl,T,
351,1949,NFL,2,15,GNB,Dan Dworsky\DworDa20,LB,
352,1949,NFL,9,86,NYG,Joe Soboleski\SoboJo20,G,
353,1949,NFL,9,88,WAS,Ed McNeil,E,
354,1949,NFL,15,145,PIT,Ed Sobczak,E,
355,1949,NFL,16,159,CHI,Al Wahl,T,
356,1949,NFL,17,166,NYG,Wally Teninga,B,
357,1949,NFL,24,232,DET,Oswald Clark,E,
358,1948,NFL,6,38,WAS,Jack Weisenburger,B,
359,1948,NFL,12,97,NYG,Jim Brieske,C,
360,1948,NFL,14,123,PHI,Dick Kempthorn,B,
361,1948,NFL,15,127,DET,Pete Elliott,B,
362,1948,NFL,15,132,PHI,Dick Rifenburg\RifeDi20,E,College Stats
363,1948,NFL,17,147,DET,Quentin Sickels,G,
364,1948,NFL,17,153,PHI,Ralph Kohl,T,
365,1948,NFL,30,283,PIT,Bruce Hilkene,T,
366,1947,NFL,5,26,DET,Bob Chappuis\ChapBo20,TB,College Stats
367,1947,NFL,10,76,DET,Chalmers (Bump) Elliott,B,
368,1947,NFL,16,143,RAM,Ralph Chubb,B,
369,1947,NFL,17,155,CHI,Wally Dreyer\DreyWa20,DB,
370,1947,NFL,20,176,DET,Elmer Madar\MadaEl20,E,College Stats
371,1947,NFL,21,186,DET,J.T. White,E,
372,1947,NFL,21,194,NYG,Joe Ponsetto,B,
373,1947,NFL,31,289,CRD,Bob Callahan\CallBo20,C,
374,1946,NFL,3,21,GNB,Bob Nussbaumer\NussBo20,HB,College Stats
375,1946,NFL,7,56,GNB,Art Renner,E,
376,1946,NFL,8,63,PIT,Joe Ponsetto,B,
377,1946,NFL,17,159,WAS,Mike Prashaw,T,
378,1945,NFL,1,5,RAM,Elroy Hirsch\HirsEl00,E,
379,1945,NFL,1,7,CHI,Don Lund,B,
380,1945,NFL,2,16,RAM,Mike Lazetich\LazeMi20,G,
381,1945,NFL,5,39,DET,Bob Wiese\WiesBo20,B,
382,1945,NFL,30,314,CHI,Don Robinson,B,
383,1944,NFL,1,7,GNB,Merv Pregulman\PregMe20,C,
384,1944,NFL,3,22,GNB,Tom Kuzma,B,
385,1944,NFL,3,24,CHI,Rudy Smeja\SmejRu20,E,College Stats
386,1944,NFL,5,35,DET,John Greene\GreeJo21,E,
387,1944,NFL,11,101,DET,Paul White\WhitPa20,HB,College Stats
388,1944,NFL,14,134,DET,Bill Pritula,C,
389,1944,NFL,15,143,CRD,Jack Carpenter\CarpJa20,T,
390,1944,NFL,29,299,DET,Robert Derleth\DerlRo20,T,
